product_id,tn
20001,1323.175867
20002,1168.7836167881055
20003,647.4258738
20004,629.3877767
20005,542.0585768
20006,473.9968736
20007,408.7471235
20008,530.8763766661483
20009,492.1702237
20010,418.6946975
20011,371.27727
20012,412.8799484776631
20013,458.5313402445853
20014,431.671087023094
20015,385.828359232373
20016,285.731355
20017,341.1066395583052
20018,358.27105113082973
20019,288.7186737
20020,262.6696683
20021,263.9968883
20022,270.8072533
20023,250.49996268203276
20024,216.90942
20025,209.679015
20026,236.9463362
20027,224.9531561558966
20028,242.6351526426411
20029,181.5474679
20030,137.0717833
20031,201.2919679
20032,562.1304356
20033,165.29995221860767
20035,168.3064
20037,182.2041358
20038,173.7828815
20039,160.01410879736844
20041,162.62383480479224
20042,167.338696
20043,162.81966854963764
20044,171.73062373081805
20045,147.9982853
20046,143.89887478486224
20047,162.83653552909826
20049,178.17645543798602
20050,125.0757394
20051,138.5942483
20052,124.60629439511028
20053,142.8199967
20054,154.3197677
20055,121.84914624987208
20056,124.35580900996676
20057,140.0832133
20058,118.7341283
20059,132.2114938064801
20061,143.95895859777022
20062,95.88318333
20063,123.1388282
20065,143.31378609765406
20066,113.131185
20067,121.9309234
20068,120.28916277154264
20069,130.1409967
20070,104.51134618608356
20071,115.5244809
20072,98.8805436320004
20073,107.4258142
20074,95.71121333
20075,139.3700385
20076,100.68335898977242
20077,101.33752908547552
20079,84.41469079824883
20080,84.87478859973405
20081,88.346895
20082,75.22334583
20084,88.32917970715597
20085,194.8358197
20086,72.60023581529431
20087,79.91418917
20089,108.91530261615864
20090,77.97071386623331
20091,98.25749
20092,86.14136928220789
20093,83.86981844
20094,82.85083858458691
20095,75.6404071797678
20096,73.7601389352714
20097,67.70497555
20099,87.47591122081006
20100,57.49193973665882
20101,74.11677
20102,34.33014603
20103,76.1609563372769
20106,76.35608392
20107,75.6193026
20108,71.78921246117994
20109,62.1626575
20111,79.929185
20112,79.371315
20114,70.30565177303579
20116,47.90587031520369
20117,65.99330956461573
20118,61.59617417
